,BILL_AMT1,SEX,BILL_AMT6,PAY_3,PAY_5,PAY_AMT3,PAY_6,AGE,BILL_AMT2,MARRIAGE,PAY_AMT5,PAY_AMT4,PAY_AMT6,BILL_AMT4,BILL_AMT3,LIMIT_BAL,BILL_AMT5,PAY_4,PAY_0,PAY_2,EDUCATION,PAY_AMT2,PAY_AMT1,ks,ks_validation1,c
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011937766417144369
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014251026703029977
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08307959103297392,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.00017012542798525892
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20245864366395358,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.0002030917620904735
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30592596402545263,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.00024244620170823283
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3966328887527537,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.0002894266124716752
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4767160596210791,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.0003455107294592218
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5473029360327337,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.0004124626382901352
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6095293324570904,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.0004923882631706741
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6641508254127628,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.0005878016072274912
11,0.0,0.0,0.0,0.0028613689806133804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7002445992025127,0.020759337029653796,0.0,0.0,0.0,0.38789409713031253,0.38789409713031253,0.000701703828670383
12,0.0,0.0,0.0,0.07565337750041295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7170641056996706,0.024842545164801798,0.0,0.0,0.0,0.38789409713031253,0.38789409713031253,0.0008376776400682924
13,0.0,0.0,0.0,0.11508131515772461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026736968691601682,0.7263114584757238,0.04233584980197621,0.0,0.0,0.0,0.3922070801495817,0.3922070801495817,0.001
